,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method
0,0.0,0.0,0.0,0.0,0,1,2,3,-1,1000000,True,24000000,3.1415926135898173,1679972812.2861686,1679972822.6019025,<class 'threading.Thread'>
1,1.0,1.0,1.0,1.0,4,5,6,7,-1,2000000,True,26000000,3.141592617875361,1679972812.3124156,1679972822.1785424,<class 'threading.Thread'>
2,2.0,2.0,2.0,2.0,8,9,10,11,-1,3000000,True,27000000,3.141592620256633,1679972812.342693,1679972822.4621143,<class 'threading.Thread'>
3,3.0,3.0,3.0,3.0,12,13,14,15,-1,4000000,True,24000000,3.141592617875361,1679972812.417991,1679972822.4779377,<class 'threading.Thread'>
4,4.0,4.0,4.0,4.0,16,17,18,19,-1,5000000,True,20000000,3.1415926135898173,1679972812.524234,1679972822.3220098,<class 'threading.Thread'>
5,5.0,5.0,0.0,,0,1,2,3,-1,1000000,True,24000000,3.1415926135898173,1679972843.4449153,1679972854.011019,<class 'threading.Thread'>
6,6.0,6.0,1.0,,4,5,6,7,-1,2000000,True,26000000,3.141592617875361,1679972843.4700537,1679972853.624932,<class 'threading.Thread'>
7,7.0,7.0,2.0,,8,9,10,11,-1,3000000,True,27000000,3.141592620256633,1679972843.5760443,1679972853.760342,<class 'threading.Thread'>
8,8.0,8.0,3.0,,12,13,14,15,-1,4000000,True,24000000,3.141592617875361,1679972843.682376,1679972853.639938,<class 'threading.Thread'>
9,9.0,9.0,4.0,,16,17,18,19,-1,5000000,True,25000000,3.141592620256633,1679972843.8033586,1679972853.496667,<class 'threading.Thread'>
10,10.0,0.0,,,0,1,2,3,-1,1000000,True,116000000,3.141592645042293,1679973586.5636787,1679973596.1468184,<class 'multiprocessing.context.Process'>
11,11.0,1.0,,,4,5,6,7,-1,2000000,True,114000000,3.1415926449686564,1679973586.5666754,1679973596.0209644,<class 'multiprocessing.context.Process'>
12,12.0,2.0,,,8,9,10,11,-1,3000000,True,114000000,3.141592645042293,1679973586.5666754,1679973596.134594,<class 'multiprocessing.context.Process'>
13,13.0,3.0,,,12,13,14,15,-1,4000000,True,112000000,3.1415926449686564,1679973586.5626788,1679973596.0149646,<class 'multiprocessing.context.Process'>
14,14.0,4.0,,,16,17,18,19,-1,5000000,True,110000000,3.1415926448937084,1679973586.5626788,1679973595.9649372,<class 'multiprocessing.context.Process'>
15,0.0,,,,0,1,2,3,-1,1000000,True,27000000,3.141592617875361,1679973599.8425844,1679973610.335321,<class 'threading.Thread'>
16,1.0,,,,4,5,6,7,-1,2000000,True,26000000,3.141592617875361,1679973599.8727503,1679973610.138042,<class 'threading.Thread'>
17,2.0,,,,8,9,10,11,-1,3000000,True,27000000,3.141592620256633,1679973599.9174752,1679973609.7899733,<class 'threading.Thread'>
18,3.0,,,,12,13,14,15,-1,4000000,True,24000000,3.141592617875361,1679973599.963248,1679973610.1987123,<class 'threading.Thread'>
19,4.0,,,,16,17,18,19,-1,5000000,True,20000000,3.1415926135898173,1679973600.1005988,1679973609.345465,<class 'threading.Thread'>
0,,,,,0,1,2,3,-1,1000000,True,18000000,3.141592600958077,1679973660.815536,1679973674.250262,<class 'threading.Thread'>
1,,,,,4,5,6,7,-1,2000000,True,16000000,3.1415925980342303,1679973660.8356817,1679973672.444754,<class 'threading.Thread'>
2,,,,,8,9,10,11,-1,3000000,True,15000000,3.1415925980342303,1679973660.9268982,1679973674.0605953,<class 'threading.Thread'>
3,,,,,12,13,14,15,-1,4000000,True,16000000,3.141592603589817,1679973661.0925732,1679973674.08152,<class 'threading.Thread'>
4,,,,,16,17,18,19,-1,5000000,True,15000000,3.141592603589817,1679973661.1690297,1679973673.3653402,<class 'threading.Thread'>
5,,,,,20,21,22,23,-1,6000000,True,12000000,3.1415925980342303,1679973661.4112186,1679973673.4536953,<class 'threading.Thread'>
6,,,,,24,25,26,27,-1,7000000,True,7000000,3.1415925821613606,1679973661.5167713,1679973672.6521256,<class 'threading.Thread'>
7,,,,,28,29,30,31,-1,8000000,True,8000000,3.1415925910897826,1679973661.8943925,1679973673.7214391,<class 'threading.Thread'>
8,,,,,32,33,34,35,-1,9000000,True,0,3.141592542478652,1679973662.4540126,1679973668.5715318,<class 'threading.Thread'>
9,,,,,36,37,38,39,-1,10000000,True,0,3.1415925535897915,1679973663.3020456,1679973670.9247131,<class 'threading.Thread'>
