,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method
0,0,1,2,3,-1,1000000,True,13000000,3.1415925821613606,1679973728.779447,1679973740.1793494,<class 'threading.Thread'>
1,4,5,6,7,-1,2000000,True,12000000,3.1415925821613606,1679973728.803059,1679973739.1940908,<class 'threading.Thread'>
2,8,9,10,11,-1,3000000,True,18000000,3.1415926059707644,1679973728.8480592,1679973740.542006,<class 'threading.Thread'>
3,12,13,14,15,-1,4000000,True,12000000,3.1415925910897826,1679973728.877808,1679973739.5290575,<class 'threading.Thread'>
4,16,17,18,19,-1,5000000,True,10000000,3.141592586923296,1679973729.0742006,1679973738.7701404,<class 'threading.Thread'>
5,20,21,22,23,-1,6000000,True,12000000,3.1415925980342303,1679973729.210315,1679973739.2552085,<class 'threading.Thread'>
6,24,25,26,27,-1,7000000,True,0,3.1415925107326004,1679973729.3312511,1679973734.6844718,<class 'threading.Thread'>
7,28,29,30,31,-1,8000000,True,0,3.1415925285896966,1679973729.5894258,1679973735.8043902,<class 'threading.Thread'>
8,32,33,34,35,-1,9000000,True,0,3.141592542478652,1679973729.6665657,1679973736.4566808,<class 'threading.Thread'>
9,36,37,38,39,-1,10000000,True,0,3.1415925535897915,1679973729.84747,1679973738.185166,<class 'threading.Thread'>
0,0,1,2,3,-1,1000000,True,16000000,3.141592594766264,1679973770.2627914,1679973782.3245144,<class 'threading.Thread'>
1,4,5,6,7,-1,2000000,True,12000000,3.1415925821613606,1679973770.2904792,1679973780.195237,<class 'threading.Thread'>
2,8,9,10,11,-1,3000000,True,15000000,3.1415925980342303,1679973770.320479,1679973781.575872,<class 'threading.Thread'>
3,12,13,14,15,-1,4000000,True,16000000,3.141592603589817,1679973770.3807526,1679973782.0085185,<class 'threading.Thread'>
4,16,17,18,19,-1,5000000,True,10000000,3.141592586923296,1679973770.6835628,1679973782.3580017,<class 'threading.Thread'>
5,20,21,22,23,-1,6000000,True,12000000,3.1415925980342303,1679973770.8069718,1679973780.5928223,<class 'threading.Thread'>
6,24,25,26,27,-1,7000000,True,0,3.1415925107326004,1679973770.9434474,1679973779.3706334,<class 'threading.Thread'>
7,28,29,30,31,-1,8000000,True,0,3.1415925285896966,1679973771.200323,1679973777.4062464,<class 'threading.Thread'>
8,32,33,34,35,-1,9000000,True,0,3.141592542478652,1679973771.7000225,1679973776.811001,<class 'threading.Thread'>
9,36,37,38,39,-1,10000000,True,0,3.1415925535897915,1679973771.8670516,1679973779.366501,<class 'threading.Thread'>
0,0,1,2,3,-1,1000000,True,94000000,3.141592643062922,1679973870.993711,1679973880.4521153,<class 'multiprocessing.context.Process'>
1,4,5,6,7,-1,2000000,True,94000000,3.1415926431726104,1679973870.9913764,1679973880.4417813,<class 'multiprocessing.context.Process'>
2,8,9,10,11,-1,3000000,True,90000000,3.141592642836817,1679973870.9948566,1679973880.3394113,<class 'multiprocessing.context.Process'>
3,12,13,14,15,-1,4000000,True,88000000,3.141592642719977,1679973870.9908755,1679973880.3044116,<class 'multiprocessing.context.Process'>
4,16,17,18,19,-1,5000000,True,90000000,3.141592643062922,1679973870.993711,1679973880.4295042,<class 'multiprocessing.context.Process'>
5,20,21,22,23,-1,6000000,True,84000000,3.141592642478473,1679973870.9994545,1679973879.885823,<class 'multiprocessing.context.Process'>
6,24,25,26,27,-1,7000000,True,84000000,3.1415926426005227,1679973870.9964583,1679973880.3024116,<class 'multiprocessing.context.Process'>
7,28,29,30,31,-1,8000000,True,80000000,3.1415926422260343,1679973870.9947095,1679973879.7212486,<class 'multiprocessing.context.Process'>
8,32,33,34,35,-1,9000000,True,81000000,3.141592642478473,1679973870.9964583,1679973879.8656583,<class 'multiprocessing.context.Process'>
9,36,37,38,39,-1,10000000,True,80000000,3.141592642478473,1679973871.0014544,1679973880.034022,<class 'multiprocessing.context.Process'>
0,0,1,2,3,-1,1000000,True,93000000,3.1415926429511822,1679973883.609913,1679973893.033102,<class 'multiprocessing.context.Process'>
1,4,5,6,7,-1,2000000,True,92000000,3.1415926429511822,1679973883.6231594,1679973892.9707828,<class 'multiprocessing.context.Process'>
2,8,9,10,11,-1,3000000,True,90000000,3.141592642836817,1679973883.6151779,1679973893.053102,<class 'multiprocessing.context.Process'>
3,12,13,14,15,-1,4000000,True,88000000,3.141592642719977,1679973883.609913,1679973893.009021,<class 'multiprocessing.context.Process'>
4,16,17,18,19,-1,5000000,True,85000000,3.141592642478473,1679973883.6231594,1679973892.7990837,<class 'multiprocessing.context.Process'>
5,20,21,22,23,-1,6000000,True,84000000,3.141592642478473,1679973883.6191776,1679973892.7990837,<class 'multiprocessing.context.Process'>
6,24,25,26,27,-1,7000000,True,84000000,3.1415926426005227,1679973883.6281502,1679973892.9717827,<class 'multiprocessing.context.Process'>
7,28,29,30,31,-1,8000000,True,80000000,3.1415926422260343,1679973883.6248415,1679973892.5883436,<class 'multiprocessing.context.Process'>
8,32,33,34,35,-1,9000000,True,81000000,3.141592642478473,1679973883.633037,1679973892.6553247,<class 'multiprocessing.context.Process'>
9,36,37,38,39,-1,10000000,True,80000000,3.141592642478473,1679973883.6276503,1679973892.8080854,<class 'multiprocessing.context.Process'>
